Date,Open,High,Low,Close,Adj Close,Volume
2011-04-01,2367.409912,2405.830078,2367.409912,2396.790039,2396.790039,357800
2011-04-04,2396.820068,2412.310059,2396.820068,2412.280029,2412.280029,368600
2011-04-05,2412.280029,2443.810059,2412.280029,2443.500000,2443.500000,396700
2011-04-06,2443.500000,2453.679932,2429.929932,2433.820068,2433.820068,364700
2011-04-07,2433.820068,2433.820068,2411.689941,2422.149902,2422.149902,348300
2011-04-08,2422.139893,2452.379883,2422.139893,2447.879883,2447.879883,348600
2011-04-11,2447.889893,2450.250000,2394.800049,2402.510010,2402.510010,331000
2011-04-12,2402.510010,2402.510010,2360.129883,2374.070068,2374.070068,331900
2011-04-13,2374.100098,2403.689941,2374.100098,2389.969971,2389.969971,294200
2011-04-14,2389.969971,2403.770020,2381.969971,2401.989990,2401.989990,268500
2011-04-15,2400.649902,2411.659912,2397.679932,2408.679932,2408.679932,322600
2011-04-18,2408.679932,2408.679932,2348.270020,2374.860107,2374.860107,311900
2011-04-19,2374.860107,2404.110107,2374.860107,2403.770020,2403.770020,287900
2011-04-20,2403.770020,2444.899902,2403.770020,2438.489990,2438.489990,325700
2011-04-21,2438.489990,2458.040039,2438.489990,2452.739990,2452.739990,301000
2011-04-25,2452.739990,2462.189941,2435.290039,2446.629883,2446.629883,275300
2011-04-26,2446.620117,2460.169922,2444.060059,2450.689941,2450.689941,311200
2011-04-27,2450.689941,2483.139893,2440.790039,2481.239990,2481.239990,308400
2011-04-28,2481.239990,2481.239990,2458.820068,2474.699951,2474.699951,323300
2011-04-29,2474.699951,2486.610107,2467.530029,2483.050049,2483.050049,289300
2011-05-02,2483.050049,2490.510010,2450.050049,2454.959961,2454.959961,295300
2011-05-03,2454.959961,2454.959961,2409.409912,2422.250000,2422.250000,287700
2011-05-04,2422.250000,2422.250000,2387.050049,2403.239990,2403.239990,312400
2011-05-05,2403.239990,2403.239990,2355.399902,2363.179932,2363.179932,342000
2011-05-06,2363.179932,2404.580078,2352.820068,2368.810059,2368.810059,300300
2011-05-09,2368.810059,2393.090088,2366.739990,2390.500000,2390.500000,222800
2011-05-10,2390.489990,2415.290039,2390.489990,2412.560059,2412.560059,266600
2011-05-11,2412.560059,2414.379883,2366.489990,2375.409912,2375.409912,297700
2011-05-12,2375.409912,2378.570068,2338.649902,2370.600098,2370.600098,301700
2011-05-13,2370.600098,2373.800049,2335.350098,2350.280029,2350.280029,240400
2011-05-16,2350.280029,2356.370117,2322.840088,2328.479980,2328.479980,273700
2011-05-17,2328.479980,2329.929932,2304.969971,2325.800049,2325.800049,303500
2011-05-18,2325.800049,2362.979980,2325.800049,2357.620117,2357.620117,275300
2011-05-19,2357.620117,2380.870117,2357.620117,2375.830078,2375.830078,252600
2011-05-20,2375.830078,2394.699951,2355.189941,2384.919922,2384.919922,277200
2011-05-23,2384.919922,2384.919922,2334.189941,2345.780029,2345.780029,236100
2011-05-24,2345.879883,2370.750000,2345.879883,2364.229980,2364.229980,270200
